"Numero de département","Numéro agrément/Approval number","SIRET","Raison SOCIALE - Enseigne commerciale/Name","Adresse/Adress","Code postal/Postal code","Commune/Town","Catégorie/Category","Activités associées/Associated activities","Espèce/Specy"
"29","29.160.021","33160562600042","ASSOCIATION DE GESTION POUR LE DEVELOPPEMENT DE L'EMPLOI - ASS DEVELOPPEMENT DE L'EMPLOI","ZONE DE CALLAC 1 1 RUE ANDRE MARIE AMPERE","29860","PLABENNEC","PP","VIII(PP)",""
"29","29.160.500","39946423900025","PRIMEL GASTRONOMIE","ZONE ARTISANALE PENHOAT","29860","PLABENNEC","PP","VIII(PP)",""
"29","29.174.020","77545321000046","LARZUL"," RUE HENRI LAUTREDOU","29720","PLONEOUR-LANVERN","PP","IX(PP);VIII(PP);XI(PP)",""
"29","29.179.001","31688326300022","SOCIETE MORVAN VIANDES","ZI ST ELOI MESCODEN 8 RUE HELENE BOUCHER","29260","PLOUDANIEL","PP","0(CS);0(RW);I(CP);II(CP);V(MM);V(MP)",""
"29","29.179.003","75078796200026","RICHARD ALEXANDRE"," 3 KERNEGUEZ","29260","PLOUDANIEL","PP","I(CP);IX(PP);V(MP)",""
"29","29.182.001","83167426200017","BOUCHERIE FERME DE SAINT LAURENT"," KERMATEZEL","29620","PLOUEGAT-GUERAND","PP","I(CP);II(CP);II(SH);V(MP)",""
"29","29.184.041","48050358000049","MER TERROIR TRADITION - MER TERROIR ET TRADITION"," ZONE ARTISANALE DE KERLAUDY","29420","PLOUENAN","PP","VIII(PP)",""
"29","29.188.020","39946423900017","PRIMEL GASTRONOMIE"," LD KERFEUNTEUN","29630","PLOUGASNOU","PP","0(CS);VIII(PP)",""
"29","29.197.001","79791481900017","PEUZIAT ALEXANDRE"," GORRE","29780","PLOUHINEC","PP","I(CP)",""
"29","29.198.020","45304555100018","SAS PAUGAM - MES PRODUITS FERMIERS. MON GITE A LA CAMPAGNE"," 7 LD LEIN","29260","PLOUIDER","PP","I(CP);IX(PP);V(MM);V(MP)",""
"29","29.210.001","91094173100010","MAISON AUTRET"," 6 RUE HENRI QUEFFELEC","29420","PLOUVORN","PP","",""
"29","29.219.001","40477279000014","SARL MINEC VIANDES","LE BOURG PL DE LA MAIRIE","29650","PLOUIGNEAU","PP","I(CP);V(MM)",""
"29","29.225.001","40297863900019","JEAN HENAFF SAS"," KER'HASTELL","29710","POULDREUZIC","PP","I(CP);I(SH);IX(PP);VIII(PP);V(MP)",""
"29","29.232.020","43312264500024","FARMOR - DOUX FARMOR","LE GRAND GUELEN 450 RTE DE ROSPORDEN","29000","QUIMPER","PP","0(RW)",""
