depInsee,dossApproNumConcatLb,etbSiret,etbLb,adrConcat,codePostalNb,comNomSimplifie,aggCatUe,aggActiviteAssocie,aggEspUe
91,91.161.045,33348933400057,BSA INTERNATIONAL,36 RTE DE LONGJUMEAU,91380,CHILLY-MAZARIN,CS,,
91,91.191.007,44806943500023,WINNER FOODS FRANCE,LA PLAINE HAUTE 34 RUE DES ENTREPRENEURS LA PLAINE HAUTE,91560,CROSNE,CS,VI(PP);V(MP),
91,91.223.19,40320696400575,MAXIMO,PARC ACTIVITE DU SUD ESSOR AVENUE DES GRENOTS,91150,ETAMPES,CS,,
91,91.235.001,52350198900033,ESSONNE FRIGORIFIQUE,"20 RUE CONDORCET ",91700,FLEURY-MEROGIS,CS,,
91,91.235.002,32151400200062,MARTIN-BROWER FRANCE SAS,ZONE D AMENAGEMENT CONCERTE DES RADARS RUE CONDORCET,91700,FLEURY-MEROGIS,CS,,
91,91.235.004,37899289501035,XPO SUPPLY CHAIN FRANCE,ZAC DES CIROLIERS 39 RUE CLEMENT ADER ZAC DES CIROLIERS,91700,FLEURY-MEROGIS,CS,,
91,91.286.009,41420071700026,B.L.M. DISTRIBUTION,ZONE D AMENAGEMENT CONCERTE 5 RUE JEAN JACQUES ROUSSEAU ZAC DES RADARS,91350,GRIGNY,CS,,
91,91.340.005,39931561300329,METRO FRANCE,PIECE DE LA REMISE RN 446,91090,LISSES,CS,I(CP);VIII(FFPP),
91,91.340.008,96520215300049,UNION PRIMEURS ETABLISSEMENTS LAURANCE,ZONE INDUSTRIELLE L EGLANTIER 13 RUE DES CERISIERS ZI L'EGLANTIER,91090,LISSES,CS,,
91,91.340.010,43369186200158,ID LOGISTICS FRANCE,ZAC DE LA REMISE RUE THOMAS EDISON ZAC DE LA REMISE,91090,LISSES,CS,,
91,91.340.012,75256603400019,ALS - ALTERNATIVE LOGISTIQUE SYSTEME,ZI PETITE MONTAGNE SUD 18 RUE DES CEVENNES,91090,LISSES,CS,,
91,91.377.023,41008103800029,COSANT,ZAC DU PEROU 23 RUE DU PEROU,91300,MASSY,CS,,
91,91.378.002,51408083700297,ITM LOGISTIQUE ALIMENTAIRE INTERNATIONAL,RUE SAINT ELOI ETS BASE DE MAUCHAMPS,91730,MAUCHAMPS,CS,,
