etablissement,nom,commune,departement,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,n_sans_dominante,ecart_sans_dominante,nom_ambigu
fr-67-348-008,CHARCUTERIE DE LA VALLEE DE LA BRUCHE,OBERNAI,67,47,9,0,2.0,2.1,auchan,57.4,20,3.0,False
fr-72-181-005,CHARCUTERIE COSME,LE MANS,72,55,5,0,2.0,1.9,charcuterie-cosme,80.0,11,1.0,False
fr-85-215-003,JEAN ROUTHIAU,SAINT-FULGENT,85,39,16,0,2.0,1.3,inconnue,30.8,27,1.0,False
fr-01-249-003,non apparie au registre,,1,90,30,4,3.0,2.2,u,22.2,70,2.5,False
fr-41-238-001,S N V,SAVIGNY-SUR-BRAYE,41,46,9,5,3.0,0.26,l-etal-du-volailler,56.5,20,3.5,False
fr-56-017-001,RONSARD,BIGNAN,56,45,9,0,3.0,1.4,inconnue,37.8,28,4.0,False
fr-22-388-001,KERMENE,VILDE-GUINGALAN,22,44,10,0,4.0,2.5,marque-repere,54.5,20,5.0,False
fr-39-198-004,CLAVIERE SOC,DOLE,39,39,14,0,4.0,2.0,claviere,43.6,22,3.0,False
fr-42-175-001,ETABLISSEMENTS MERLE ET COMPAGNIE,POUILLY-LES-FEURS,42,55,17,0,4.0,3.5,merle,27.3,40,3.0,False
fr-44-072-002,AGIS,HERBIGNAC,44,65,31,3,4.0,1.4,carrefour,15.4,55,4.0,False
fr-61-096-018,S N V,RIVES D'ANDAINE,61,35,9,13,4.0,1.3,inconnue,28.6,25,5.5,False
fr-70-093-001,SOCIETE ANDRE BAZIN,BREUCHES,70,30,9,1,4.0,2.2,inconnue,53.3,14,3.0,False
fr-39-475-003,SALAISONS BOLARD FRERES,SAINT-AMOUR,39,44,18,0,4.5,1.7,inconnue,22.7,34,4.5,False
fr-40-281-001,DELPEYRAT,SAINT-PIERRE-DU-MONT,40,31,14,0,4.5,1.4,delpeyrat,32.3,21,5.0,False
fr-65-304-002,EURALIS GASTRONOMIE,MAUBOURGUET,65,47,8,0,5.0,1.2,maison-montfort,59.6,19,6.0,False
fr-07-338-002,GUEZE ETS,VERNOUX-EN-VIVARAIS,7,30,8,0,5.5,2.4,gueze,40.0,18,7.0,False
fr-38-012-001,AOSTE SNC OU A SNC - JAMBON D'AOSTE,AOSTE,38,223,39,0,5.5,4.5,aoste,35.0,145,1.0,False
fr-01-159-002,ROLAND MONTERRAT - LYONVAL TRAITEUR,FEILLENS,1,53,22,0,6.0,1.7,roland-monterrat,18.9,43,6.0,False
fr-56-222-002,CENTRE ELABORATION DES VIANDES,SAINT-JEAN-BREVELAY,56,85,17,71,8.0,2.4,reghalal,31.8,58,6.0,False
fr-85-006-001,CHARCUTERIE VENDEENNE,APREMONT,85,71,16,0,8.0,3.3,petitgas,40.8,42,10.0,False
fr-56-166-001,ISLA MONDIAL,PLOUAY,56,39,4,38,9.0,2.3,isla-mondial,92.3,3,,False
fr-42-156-006,CRYSTAL,NEULISE,42,53,5,52,12.0,3.4,isla-delice,92.5,4,,False
fr-11-262-047,COMPAGNIE MONTAGNE NOIRE,NARBONNE,11,97,29,0,13.0,4.7,montagne-noire,19.6,78,12.5,False
fr-40-261-001,LABEYRIE / LABEYRIE FINE FOODS FRANCE,SAINT-GEOURS-DE-MAREMNE,40,34,9,0,13.0,2.7,labeyrie,35.3,22,13.0,True
fr-64-010-003,HARAGUY-JAMBON DE BAYONNE,AICIRITS-CAMOU-SUHAST,64,31,15,0,15.0,4.9,carrefour,19.4,25,15.0,False
fr-65-100-003,FINE LAME,BORDERES-SUR-L'ECHEZ,65,58,23,0,15.0,5.0,carrefour,37.9,36,14.5,False
